Item_name,ID,Category,URL,Image_file
KLIPPAN คลิปปัน,1.0,couch,https://www.ikea.com/th/th/p/klippan-2-seat-sofa-vissle-green-s59561664/,couch/couch1.png
HEMLINGBY เฮมลิงบี,2.0,couch,https://www.ikea.com/th/th/p/hemlingby-2-seat-sofa-knisa-dark-grey-70434368/,couch/couch2.png
ESSEBODA เอ็สเซบูดา,3.0,couch,https://www.ikea.com/th/th/p/esseboda-3-seat-sofa-knaebaeck-anthracite-brown-s39443520/,couch/couch3.png
SÖDERHAMN เซอเดอร์ฮัมน์,4.0,couch,http://ikea.com/th/th/p/soederhamn-3-seat-section-viarp-beige-brown-s69305616/,couch/couch4.png
FRIHETEN ฟรีเฮตเตน,5.0,couch,https://www.ikea.com/th/th/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s09216755/,couch/couch5.png
GLOSTAD กลูสตอด,6.0,couch,https://www.ikea.com/th/th/p/glostad-2-seat-sofa-knisa-dark-grey-10489009/,couch/couch6.png
VIMLE วิมเล,7.0,couch,https://www.ikea.com/th/th/p/vimle-2-seat-sofa-saxemara-black-blue-s49399017/#content,couch/couch7.png
SMEDSTORP สเมียดสตอร์ป,8.0,couch,https://www.ikea.com/th/th/p/smedstorp-2-seat-sofa-lejde-red-brown-birch-s79463653/,couch/couch8.png
FRIDHULT ฟรีดฮุลท์,9.0,couch,https://www.ikea.com/th/th/p/fridhult-sofa-bed-knisa-light-grey-60355762/#content,couch/couch9.png
EKTORP เอียคทอร์ป,10.0,couch,https://www.ikea.com/th/th/p/ektorp-2-seat-sofa-kilanda-dark-blue-s99509023/#content,couch/couch10.png
LILLEHEM ลิลเลเฮม,11.0,couch,https://www.ikea.com/th/th/p/lillehem-2-seat-modular-sofa-gunnared-dark-grey-wood-s79471262/#content,couch/couch11.png
LANDSKRONA ลันด์สครูน่า,12.0,couch,https://www.ikea.com/th/th/p/landskrona-three-seat-sofa-grann-bomstad-black-metal-s79031701/,couch/couch12.png
STOCKHOLM สตอกโฮล์ม,13.0,couch,https://www.ikea.com/th/th/p/stockholm-three-seat-sofa-seglora-natural-30245044/,couch/couch13.png
JÄTTEBO แยทตะโบ,14.0,couch,https://www.ikea.com/th/th/p/jaettebo-2-seat-modular-sofa-tonerud-grey-s89469503/#content,couch/couch14.png
KIVIK ชีวิค,15.0,couch,https://www.ikea.com/th/th/p/kivik-4-seat-sofa-with-chaise-longue-tresund-anthracite-s99494385/#content,couch/couch15.png
BÅRSLÖV บอร์ชเลิฟ,16.0,couch,https://www.ikea.com/th/th/p/barsloev-3-seat-sofa-bed-tibbleby-beige-grey-60541590/,couch/couch16.png
HYLTARP ฮิลทาร์ป,17.0,couch,https://www.ikea.com/th/th/p/hyltarp-2-seat-sofa-bed-gransel-grey-s79514860/#content,couch/couch17.png
KLIPPAN คลิปปัน,18.0,couch,https://www.ikea.com/th/th/p/klippan-2-seat-sofa-bomstad-black-10399315/,couch/couch18.png
VISKAFORS วิสกาฟอร์ช,19.0,couch,https://www.ikea.com/th/th/p/viskafors-2-seat-sofa-lejde-anthracite-birch-s29443219/#content,couch/couch19.png
EKHOLMA เอียคโฮลมา,20.0,couch,https://www.ikea.com/th/th/p/ekholma-2-seat-sofa-hakebo-dark-grey-s19537402/#content,couch/couch20.png
KRYLBO คริลบู,1.0,chair,https://www.ikea.com/th/th/p/krylbo-chair-tonerud-blue-00566748/#content,chair/chair1.png
DYVLINGE ดีฟลิงเง,2.0,chair,https://www.ikea.com/th/th/p/dyvlinge-swivel-easy-chair-kelinge-black-20570829/#content,chair/chair2.png
TEODORES ทีโอดอเรส,3.0,chair,https://www.ikea.com/th/th/p/teodores-chair-blue-70530628/#content,chair/chair3.png
LISABO ลิซาโบ,4.0,chair,https://www.ikea.com/th/th/p/lisabo-chair-ash-tallmyra-white-black-50561041/#content,chair/chair4.png
VOXLÖV วอกซ์เลิฟ,5.0,chair,https://www.ikea.com/th/th/p/voxloev-chair-light-bamboo-10449264/,chair/chair5.png
SANDSBERG ซันด์เบรย์,6.0,chair,https://www.ikea.com/th/th/p/sandsberg-chair-black-80605430/,chair/chair6.png
VIHALS วีฮาลส์,7.0,chair,https://www.ikea.com/th/th/p/vihals-chair-white-tibbleby-beige-grey-10592761/,chair/chair7.png
SKOGSTA สกูกสต้า,8.0,chair,https://www.ikea.com/th/th/p/skogsta-chair-acacia-70544871/#content,chair/chair8.png
LILLÅNÄS ลิลัวเนส,9.0,chair,https://www.ikea.com/th/th/p/lillanaes-chair-chrome-plated-bomstad-black-40534760/#content,chair/chair9.png
TOBIAS ทูเบียส,10.0,chair,https://www.ikea.com/th/th/p/tobias-chair-grey-chrome-plated-90349675/#content,chair/chair10.png
KARLPETTER คาร์ลเพตเตร์,11.0,chair,https://www.ikea.com/th/th/p/karlpetter-chair-gunnared-medium-grey-sefast-white-s19481424/#content,chair/chair11.png
GRÖNSTA เกรินสต้า,12.0,chair,https://www.ikea.com/th/th/p/groensta-chair-with-armrests-in-outdoor-grey-turquoise-90559753/#content,chair/chair12.png
NÄSINGE แนซิงเง,13.0,chair,https://www.ikea.com/th/th/p/naesinge-chair-white-tibbleby-beige-grey-90587505/,chair/chair13.png
PINNTORP พินน์ทอร์ป,14.0,chair,https://www.ikea.com/th/th/p/pinntorp-chair-red-stained-80529479/,chair/chair14.png
ROSENTORP รูเซ็นทอร์ป,15.0,chair,https://www.ikea.com/th/th/p/rosentorp-chair-tibbleby-beige-grey-black-70614171/#content,chair/chair15.png
TONSTAD ทุนสตัด,16.0,chair,https://www.ikea.com/th/th/p/tonstad-chair-fridtuna-light-beige-brown-oak-effect-s49599653/,chair/chair16.png
BERGMUND แบรีมุนด์,17.0,chair,https://www.ikea.com/th/th/p/bergmund-chair-oak-effect-gunnared-medium-grey-s09384616/,chair/chair17.png
YNGVAR ยิงวาร์,18.0,chair,https://www.ikea.com/th/th/p/yngvar-chair-anthracite-60417637/,chair/chair18.png
BUSLÄTT บุสเล็ตต์,19.0,chair,https://www.ikea.com/th/th/p/buslaett-chair-white-pine-70601140/,chair/chair19.png
ODGER อูดเยียร์,20.0,chair,https://www.ikea.com/th/th/p/odger-chair-anthracite-30457314/,chair/chair20.png
LINNMON ลินมูน / ADILS อดิลส์,1.0,table,https://www.ikea.com/th/th/p/linnmon-adils-table-white-s09246408/#content,table/table1.png
VIHALS วีฮาลส์,2.0,table,https://www.ikea.com/th/th/p/vihals-table-white-white-s69578517/,table/table2.png
VOXLÖV วอกซ์เลิฟ,3.0,table,https://www.ikea.com/th/th/p/voxloev-dining-table-light-bamboo-60449266/,table/table3.png
SKOGSTA สกูกสต้า,4.0,table,https://www.ikea.com/th/th/p/skogsta-dining-table-acacia-black-40419265/,table/table4.png
DANDERYD ดันเดรีด,5.0,table,https://www.ikea.com/th/th/p/danderyd-dining-table-oak-veneer-white-30463857/,table/table5.png
LAGKAPTEN ลาคแคปเทียน / OLOV อูลอฟ,6.0,table,https://www.ikea.com/th/th/p/lagkapten-olov-desk-white-s79417171/,table/table6.png
HAUGA เฮากา,7.0,table,https://www.ikea.com/th/th/p/hauga-table-grey-birch-veneer-30579216/,table/table7.png
TONSTAD ทุนสตัด,8.0,table,https://www.ikea.com/th/th/p/tonstad-table-brown-stained-oak-veneer-80600060/,table/table8.png
MÖRBYLÅNGA เมอร์บีลองงา,9.0,table,https://www.ikea.com/th/th/p/moerbylanga-table-oak-veneer-brown-stained-80365802/,table/table9.png
DOCKSTA ดอคสต้า,10.0,table,https://www.ikea.com/th/th/p/docksta-table-white-white-s79324997/,table/table10.png
LISABO ลิซาโบ,11.0,table,https://www.ikea.com/th/th/p/lisabo-table-black-ash-veneer-80416496/,table/table11.png
NORRÅKER นูร์ร็อกเกร์,12.0,table,https://www.ikea.com/th/th/p/norraker-table-birch-70428980/,table/table12.png
NACKANÄS นักกาเนส,13.0,table,https://www.ikea.com/th/th/p/nackanaes-table-acacia-30518096/,table/table13.png
PINNTORP พินน์ทอร์ป,14.0,table,https://www.ikea.com/th/th/p/pinntorp-table-light-brown-stained-white-stained-10529468/,table/table14.png
NÄSINGE แนซิงเง,15.0,table,https://www.ikea.com/th/th/p/naesinge-table-white-50587507/,table/table15.png
ÅLHULT อัวล์ฮุลท์,16.0,table,https://www.ikea.com/th/th/p/alhult-table-beige-brown-50600764/,table/table16.png
STOCKHOLM 2025 สตอกโฮล์ม 2025,17.0,tabel,https://www.ikea.com/th/th/p/stockholm-2025-table-oak-veneer-oak-veneer-s39606588/,table/table17.png
VITTSJÖ วิทท์เชอ,18.0,table,https://www.ikea.com/th/th/p/vittsjoe-coffee-table-black-brown-glass-00213313/#content,table/table18.png
RELATERA เรลาเทียรา,19.0,table,https://www.ikea.com/th/th/p/relatera-desk-white-s99560083/,table/table19.png
TROTTEN ทร็อตเตน,20.0,table,https://www.ikea.com/th/th/p/trotten-desk-white-s09424943/,table/table20.png
IDANÄS อิดาแนส,1.0,bed,https://www.ikea.com/th/th/p/idanaes-upholstered-ottoman-bed-gunnared-dark-grey-60458977/,bed/bed1.png
SLATTUM สลอททุม,2.0,bed,https://www.ikea.com/th/th/p/slattum-upholstered-bed-frame-vissle-dark-grey-20571249/,bed/bed2.png
MALM มาล์ม,3.0,bed,https://www.ikea.com/th/th/p/malm-bed-frame-high-w-2-storage-boxes-white-luroey-s39199778/,bed/bed3.png
KLEPPSTAD เคลปป์สตัด,4.0,bed,https://www.ikea.com/th/th/p/kleppstad-bed-frame-white-vissle-beige-30492671/,bed/bed4.png
SLÄKT สเลค,5.0,bed,https://www.ikea.com/th/th/p/slaekt-bed-frame-w-storage-slatted-bedbase-white-s99291967/,bed/bed5.png
SONGESAND ซองเงซันด์,6.0,bed,https://www.ikea.com/th/th/p/songesand-bed-frame-with-2-storage-boxes-white-luroey-s59241248/,bed/bed6.png
GRIMSBU กริมส์บู,7.0,bed,https://www.ikea.com/th/th/p/grimsbu-bed-frame-grey-20458757/,bed/bed7.png
TÄLLÅSEN ทัลลัวเซน,8.0,bed,https://www.ikea.com/th/th/p/taellasen-upholstered-bed-frame-kulsta-grey-green-90538925/,bed/bed8.png
TÄRNKULLEN ทาร์นคูลเลน,9.0,bed,https://www.ikea.com/th/th/p/taernkullen-upholstered-bed-frame-vissle-beige-luroey-s39564362/,bed/bed9.png
VEVELSTAD เวียเวลสตัด,10.0,bed,https://www.ikea.com/th/th/p/vevelstad-bed-frame-white-20518271/,bed/bed10.png
VIHALS วีฮาลส์,11.0,bed,https://www.ikea.com/th/th/p/vihals-bed-frame-with-2-storage-boxes-white-luroey-s39581984/,bed/bed11.png
SAGESUND เซจซุนด์,12.0,bed,https://www.ikea.com/th/th/p/sagesund-upholstered-bed-frame-diseroed-brown-50490384/,bed/bed12.png
TUFJORD ทุฟยูร์ด,13.0,bed,https://www.ikea.com/th/th/p/tufjord-upholstered-bed-frame-tallmyra-black-blue-loenset-s49555343/#content,bed/bed13.png
RAMNEFJÄLL รัมเนิฟแยล,14.0,bed,https://www.ikea.com/th/th/p/ramnefjaell-upholstered-bed-frame-kilanda-light-beige-luroey-s09560172/,bed/bed14.png
STJÄRNÖ แควนเนอ,15.0,bed,https://www.ikea.com/th/th/p/stjaernoe-bed-frame-white-40579051/,bed/bed15.png
GLADSTAD กลอดสท็อด,16.0,bed,https://www.ikea.com/th/th/p/gladstad-upholstered-bed-2-storage-boxes-kabusa-light-grey-s39406810/,bed/bed16.png
TONSTAD ทุนสตัด,17.0,bed,https://www.ikea.com/th/th/p/tonstad-bed-frame-with-storage-brown-stained-oak-veneer-loenset-s89504592/,bed/bed17.png
TARVA ทาร์ฟวา,18.0,bed,https://www.ikea.com/th/th/p/tarva-bed-frame-pine-20354463/,bed/bed18.png
NESTTUN เนสท์ตุน,19.0,bed,https://www.ikea.com/th/th/p/nesttun-bed-frame-white-luroey-s99158020/,bed/bed19.png
BJÖRKSNÄS บยอร์กสแนส,20.0,bed,https://www.ikea.com/th/th/p/bjoerksnaes-bed-frame-birch-luroey-s69247570/,bed/bed20.png
NÄMMARÖ แนมมาเรอ,1.0,bench,https://www.ikea.com/th/th/p/naemmaroe-bench-with-backrest-outdoor-light-brown-stained-50510339/,bench/bench1.png
PERJOHAN เพอร์ยูฮัน,2.0,bench,https://www.ikea.com/th/th/p/perjohan-bench-with-storage-pine-20501317/,bench/bench2.png
NÄMMARÖ แนมมาเรอ,3.0,bench,https://www.ikea.com/th/th/p/naemmaroe-bench-outdoor-light-brown-stained-10510341/,bench/bench3.png
MÖRBYLÅNGA เมอร์บีลองงา,4.0,bench,https://www.ikea.com/th/th/p/moerbylanga-bench-oak-veneer-brown-stained-30415814/,bench/bench4.png
STOCKHOLM 2025 สตอกโฮล์ม 2025,5.0,bench,https://www.ikea.com/th/th/p/stockholm-2025-bench-with-pad-s89563954/,bench/bench5.png
KLIMPFJÄLL คลีมป์เฟียลล์,6.0,bench,https://www.ikea.com/th/th/p/klimpfjaell-bench-grey-brown-60480389/,bench/bench6.png
TOLKNING โทลค์นิง,7.0,bench,https://www.ikea.com/th/th/p/tolkning-bench-with-storage-handmade-rattan-60512658/,bench/bench7.png
SMÅSTAD สมวสตัด,8.0,bench,https://www.ikea.com/th/th/p/smastad-bench-with-toy-storage-white-white-s99389153/,bench/bench8.png
RÅGRUND รัวกรุนด์,9.0,bench,https://www.ikea.com/th/th/p/ragrund-bench-bamboo-40549417/,bench/bench9.png
RAGGBERG แร็กเบิร์ก,10.0,bench,https://www.ikea.com/th/th/p/raggberg-bench-with-shoe-storage-pine-80611129/,bench/bench10.png
TJUSIG ชูสสิก,11.0,bench,https://www.ikea.com/th/th/p/tjusig-bench-with-shoe-storage-black-10160861/,bench/bench11.png
NORRMANSÖ นอรร์มานเซอ,12.0,bench,https://www.ikea.com/th/th/p/norrmansoe-bench-outdoor-acacia-90586695/,bench/bench12.png
NIPÅSEN นิพัวเซ็น,13.0,bench,https://www.ikea.com/th/th/p/nipasen-bench-with-shoe-storage-black-00586143/,bench/bench13.png
TÄRNÖ แทร์นเออ,14.0,bench,https://www.ikea.com/th/th/p/taernoe-bench-outdoor-foldable-black-light-brown-stained-80534904/,bench/bench14.png
MACKAPÄR มักคาแพร์,15.0,bench,https://www.ikea.com/th/th/p/mackapaer-storage-bench-with-sliding-doors-white-80544489/,bench/bench15.png
MUSKAN มูสคาน,16.0,bench,https://www.ikea.com/th/th/p/muskan-bench-white-50562465/,bench/bench16.png
KALLSÖ คัลโซ,17.0,bench,https://www.ikea.com/th/th/p/kallsoe-storage-bench-grey-10599324/,bench/bench17.png
LÄCKÖ เลคค์เออ,18.0,bench,https://www.ikea.com/th/th/p/laeckoe-2-seat-sofa-outdoor-grey-30522734/,bench/bench18.png
VALTORP วัลทอร์พ,19.0,bench,https://www.ikea.com/th/th/p/valtorp-bench-with-storage-samsala-dark-yellow-green-50572780/,bench/bench19.png
STOREDAMM สตูเรดามม์,20.0,bench,https://www.ikea.com/th/th/p/storedamm-bench-acacia-00576163/,bench/bench20.png
"ทีวีแอลอีดี 40 นิ้ว NANO (FULL HD, LED, DIGITAL TV) LTV4001N",1.0,tv,https://www.homepro.co.th/p/1210452,tv/tv1.png
"ทีวี แอลอีดี 43 นิ้ว TCL (4K, LED, GOOGLE TV) 43P6K",2.0,tv,https://www.homepro.co.th/p/1291301,tv/tv2.png
"ทีวีแอลอีดี 43 นิ้ว HAIER (FULL HD, LED, GOOGLE TV) H43K85FFX",3.0,tv,https://www.homepro.co.th/p/1295416,tv/tv3.png
แอลอีดี ทีวี 40 นิ้ว ACONATIC DIGITAL TV 40HD514AN (รับประกัน 1 ปี),4.0,tv,https://www.homepro.co.th/p/888120300047,tv/tv4.png
"ทีวีแอลอีดี 43 นิ้ว SKYWORTH (FULL HD, LED, GOOGLE TV) 43E6800G",5.0,tv,https://www.homepro.co.th/p/1283785,tv/tv5.png
"ทีวีแอลอีดี 43 นิ้ว LG (4K, LED, SMART TV) 43UA7350PSB.ATMQ",6.0,tv,https://www.homepro.co.th/p/1290871,tv/tv6.png
"ทีวีแอลอีดี 40 นิ้ว HISENSE (FULL HD, LED, VIDAA) 40A4Q",7.0,tv,https://www.homepro.co.th/p/1296031,tv/tv7.png
"ทีวีแอลอีดี 43 นิ้ว PHILIPS (FULL HD, LED, DIGITAL TV) 43PFT5019/67",8.0,tv,https://www.homepro.co.th/p/1264500,tv/tv8.png
"ทีวีแอลอีดี 43 นิ้ว SAMSUNG (4K, LED, TIZEN) UA43U8000FKXXT",9.0,tv,https://www.homepro.co.th/p/1296575,tv/tv9.png
"ทีวีแอลอีดี 43 นิ้ว SHARP (4K, LED, GOOGLE TV) 4T-C43HJ6000X",10.0,tv,https://www.homepro.co.th/p/1297991,tv/tv10.png
"ทีวีแอลอีดี 43 นิ้ว SONY (4K, LED, GOOGLE TV) BRAVIA 2 II K-43S20M2",11.0,tv,https://www.homepro.co.th/p/1296313,tv/tv11.png
"ทีวีแอลอีดี 43 นิ้ว TOSHIBA (FULL HD, LED, VIDAA) 43E31RP",12.0,tv,https://www.homepro.co.th/p/1297677,tv/tv12.png
แอลอีดีทีวี 43 นิ้ว Smart WORLDTECH รุ่น WTTVSM43FHD210000A,13.0,tv,https://www.homepro.co.th/p/888163300032,tv/tv13.png
"ทีวีแอลอีดี 43 นิ้ว XIAOMI (4K, LED, GOOGLE TV) A 43 U 2026",14.0,tv,https://www.homepro.co.th/p/1297943,tv/tv14.png
FEJKA เฟคก้า ต้นก้ามปูหลุด,1.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-spiderwort-50493368/,plant/plant1.png
FEJKA เฟคก้า ไพเลีย,2.0,plant,https://www.ikea.com/th/th/p/epipremnum-potted-plant-golden-pothos-assorted-colours-30562287/,plant/plant2.png
DYPSIS LUTESCENS DYPSIS LUTESCENS ปาล์มหมาก,3.0,plant,https://www.ikea.com/th/th/p/dypsis-lutescens-potted-plant-areca-palm-60562262/,plant/plant3.png
FEJKA เฟคก้า หญ้า,4.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-grass-80433943/,plant/plant4.png
FEJKA เฟคก้า ต้น Weeping fig,5.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-weeping-fig-00491574/,plant/plant5.png
FEJKA เฟคก้า ต้นผีเสื้อภูเขา,6.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-butterfly-plant-00600889/,plant/plant6.png
VINTERFINT วินเตอร์ฟินท์ ต้นคริสต์มาส เขียว,7.0,plant,https://www.ikea.com/th/th/p/vinterfint-artificial-potted-plant-in-outdoor-christmas-tree-green-00606532/,plant/plant7.png
FEJKA เฟคก้า ใบมอนสเตอรา,8.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-hanging-monstera-00608404/,plant/plant8.png
FEJKA เฟคก้า เฟิร์น,9.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-fern-10433946/,plant/plant9.png
FEJKA เฟคก้า ต้น Ivy,10.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-hanging-ivy-10461152/,plant/plant10.png
ASPLENIUM อัสเพลียนีอุม Bird's Nest Fern,11.0,plant,https://www.ikea.com/th/th/p/asplenium-potted-plant-birds-nest-fern-10562269/,plant/plant11.png
FEJKA เฟคก้า Bird of paradise,12.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-bird-of-paradise-10578072/,plant/plant12.png
FEJKA เฟคก้า Alocasia,13.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-alocasia-10600879/,plant/plant13.png
FEJKA เฟคก้า ต้นโกสน,14.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-croton-10600884/,plant/plant14.png
FEJKA เฟคก้า ต้นกล้วย,15.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-banana-tree-10600898/,plant/plant15.png
VINTERFINT วินเตอร์ฟินท์,16.0,plant,https://www.ikea.com/th/th/p/vinterfint-artificial-potted-plant-in-outdoor-poinsettia-white-10606635/,plant/plant16.png
FEJKA เฟคก้า กล้วยไม้ ขาว,17.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-orchid-white-20294940/,plant/plant17.png
FEJKA เฟคก้า ไม้ยูคาลิปตัส,18.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-eucalyptus-20452369/,plant/plant18.png
FEJKA เฟคก้า ไม้ไผ่,19.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-bamboo-20568893/,plant/plant19.png
FEJKA เฟคก้า มินต์,20.0,plant,https://www.ikea.com/th/th/p/fejka-artificial-potted-plant-in-outdoor-mint-20600869/,plant/plant20.png
KARAFF คาราฟฟ์,1.0,vase,https://www.ikea.com/th/th/p/karaff-carafe-clear-glass-80342976/,vase/vase1.png
VILJESTARK วีเลียตสตาร์ค,2.0,vase,https://www.ikea.com/th/th/p/viljestark-vase-clear-glass-80338578/,vase/vase2.png
KÄLLARHALS เชลลาร์ฮัลส์,3.0,vase,https://www.ikea.com/th/th/p/kaellarhals-vase-yellow-80583720/,vase/vase3.png
STILREN สตีลเรียน,4.0,vase,https://www.ikea.com/th/th/p/stilren-vase-white-60442038/,vase/vase4.png
PÅDRAG พัวดรัก,5.0,vase,https://www.ikea.com/th/th/p/padrag-vase-clear-glass-50470989/,vase/vase5.png
STOCKHOLM 2025 สตอกโฮล์ม 2025,6.0,vase,https://www.ikea.com/th/th/p/stockholm-2025-vase-brown-70590491/,vase/vase6.png
FRÖVÄXT ฟรอแว็กซ์,7.0,vase,https://www.ikea.com/th/th/p/froevaext-vase-brown-orange-40591920/,vase/vase7.png
PÄRLHÄGG แพร์ลแฮกก์,8.0,vase,https://www.ikea.com/th/th/p/paerlhaegg-vase-yellow-beige-20607309/,vase/vase8.png
BLODBJÖRK บลูดบเยิร์ก,9.0,vase,https://www.ikea.com/th/th/p/blodbjoerk-vase-beige-50607303/,vase/vase9.png
POMP พอมพ์,10.0,vase,https://www.ikea.com/th/th/p/pomp-vase-lantern-clear-glass-00326536/,vase/vase10.png
PELARBJÖRK เพลาร์บเยิร์ก,11.0,vase,https://www.ikea.com/th/th/p/pelarbjoerk-vase-white-40607313/,vase/vase11.png
SANNOLIK ซันนูลีค,12.0,vase,https://www.ikea.com/th/th/p/sannolik-vase-pink-20309786/,vase/vase12.png
RÄFFELBJÖRK แรฟเฟิลบยอร์ค,13.0,vase,https://www.ikea.com/th/th/p/raeffelbjoerk-vase-mother-of-pearl-colour-20537665/,vase/vase13.png
STILREN สตีลเรียน,14.0,vase,https://www.ikea.com/th/th/p/stilren-vase-white-90592366/,vase/vase14.png
BLODBJÖRK บลูดบเยิร์ก,15.0,vase,https://www.ikea.com/th/th/p/blodbjoerk-vase-pale-pink-blue-90607301/,vase/vase15.png
BERÄKNA เบแร็กนา,16.0,vase,https://www.ikea.com/th/th/p/beraekna-vase-clear-glass-50457775/,vase/vase16.png
GRADVIS กราดวีส,17.0,vase,https://www.ikea.com/th/th/p/gradvis-vase-pink-00334701/,vase/vase17.png
KONSTFULL คอนสต์ฟูล,18.0,vase,https://www.ikea.com/th/th/p/konstfull-vase-green-brown-00511954/,vase/vase18.png
PÅSKÖTRÄD พอสเกอแทรด,19.0,vase,https://www.ikea.com/th/th/p/paskoetraed-vase-glass-light-brown-50610541/,vase/vase19.png
SKOGSTUNDRA สกูกสทุนดรา,20.0,vase,https://www.ikea.com/th/th/p/skogstundra-vase-light-blue-00572099/,vase/vase20.png
PLUTTIS พลุททีส,1.0,clock,https://www.ikea.com/th/th/p/pluttis-wall-clock-black-90540848/,clock/clock1.png
DEKAD เดียคอด,2.0,clock,https://www.ikea.com/th/th/p/dekad-alarm-clock-white-70540477/,clock/clock2.png
TROMMA ทรูมมา,3.0,clock,https://www.ikea.com/th/th/p/tromma-wall-clock-white-10557079/,clock/clock3.png
BONDIS บูนดิส,4.0,clock,https://www.ikea.com/th/th/p/bondis-wall-clock-orange-70601710/,clock/clock4.png
KUPONG คูพ็อง,5.0,clock,https://www.ikea.com/th/th/p/kupong-alarm-clock-bright-blue-70592126/,clock/clock5.png
PLUGGET พลุกเกียต,6.0,clock,https://www.ikea.com/th/th/p/plugget-alarm-clock-black-70499128/,clock/clock6.png
TJINGA ชิงย่า,7.0,clock,https://www.ikea.com/th/th/p/tjinga-alarm-clock-pale-yellow-20592124/,clock/clock7.png
ROTBLÖTA รูตเบลอตา,8.0,clock,https://www.ikea.com/th/th/p/rotbloeta-wall-clock-ash-veneer-light-grey-20540856/,clock/clock8.png
